Date,Time,kWh delivered,kWh received,
21/07/2022,5 p.m.,0.658,0.959,
21/07/2022,6 p.m.,0.203,0.037,
21/07/2022,7 p.m.,2.396,0.0,
21/07/2022,8 p.m.,3.188,0.0,
21/07/2022,9 p.m.,0.809,0.0,
21/07/2022,10 p.m.,1.203,0.0,
21/07/2022,11 p.m.,0.79,0.0,
22/07/2022,12 a.m.,0.542,0.0,
22/07/2022,1 a.m.,0.483,0.0,
22/07/2022,2 a.m.,0.543,0.0,
22/07/2022,3 a.m.,0.977,0.0,
22/07/2022,4 a.m.,0.485,0.0,
22/07/2022,5 a.m.,0.485,0.0,
22/07/2022,6 a.m.,0.236,0.003,
22/07/2022,7 a.m.,0.342,1.161,
22/07/2022,8 a.m.,0.0,3.676,
22/07/2022,9 a.m.,0.054,5.062,
22/07/2022,10 a.m.,0.0,7.741,
22/07/2022,11 a.m.,0.0,7.516,
22/07/2022,12 p.m.,0.0,8.652,
22/07/2022,1 p.m.,0.0,7.731,
22/07/2022,2 p.m.,0.0,8.258,
22/07/2022,3 p.m.,0.101,4.984,
22/07/2022,4 p.m.,0.011,3.813,
22/07/2022,5 p.m.,0.624,0.631,
22/07/2022,6 p.m.,1.681,0.05,
22/07/2022,7 p.m.,0.077,0.242,
22/07/2022,8 p.m.,2.625,0.0,
22/07/2022,9 p.m.,2.698,0.0,
22/07/2022,10 p.m.,1.108,0.0,
22/07/2022,11 p.m.,0.609,0.0,
23/07/2022,12 a.m.,0.517,0.0,
23/07/2022,1 a.m.,0.533,0.0,
23/07/2022,2 a.m.,0.55,0.0,
23/07/2022,3 a.m.,0.56,0.0,
23/07/2022,4 a.m.,0.599,0.0,
23/07/2022,5 a.m.,0.738,0.0,
23/07/2022,6 a.m.,0.281,0.001,
23/07/2022,7 a.m.,0.116,0.792,
23/07/2022,8 a.m.,0.932,0.184,
23/07/2022,9 a.m.,0.0,1.887,
23/07/2022,10 a.m.,0.0,1.147,
23/07/2022,11 a.m.,0.0,8.315,
23/07/2022,12 p.m.,0.0,8.794,
23/07/2022,1 p.m.,0.0,6.856,
23/07/2022,2 p.m.,0.0,6.386,
23/07/2022,3 p.m.,0.0,5.359,
23/07/2022,4 p.m.,0.0,4.903,
