Date,Time,kWh delivered,kWh received,
19/09/2022,4 p.m.,0.0,1.291,
19/09/2022,5 p.m.,0.288,0.726,
19/09/2022,6 p.m.,0.922,0.0,
19/09/2022,7 p.m.,1.315,0.0,
19/09/2022,8 p.m.,1.232,0.0,
19/09/2022,9 p.m.,0.849,0.0,
19/09/2022,10 p.m.,1.693,0.0,
19/09/2022,11 p.m.,0.784,0.0,
20/09/2022,12 a.m.,0.547,0.0,
20/09/2022,1 a.m.,0.533,0.0,
20/09/2022,2 a.m.,0.672,0.0,
20/09/2022,3 a.m.,0.531,0.0,
20/09/2022,4 a.m.,0.538,0.0,
20/09/2022,5 a.m.,0.777,0.0,
20/09/2022,6 a.m.,1.316,0.0,
20/09/2022,7 a.m.,1.37,0.022,
20/09/2022,8 a.m.,0.35,2.039,
20/09/2022,9 a.m.,0.0,4.743,
20/09/2022,10 a.m.,0.0,6.833,
20/09/2022,11 a.m.,0.0,6.558,
20/09/2022,12 p.m.,0.0,9.184,
20/09/2022,1 p.m.,0.0,8.854,
20/09/2022,2 p.m.,0.0,5.633,
20/09/2022,3 p.m.,0.0,5.166,
20/09/2022,4 p.m.,0.183,0.823,
20/09/2022,5 p.m.,0.034,0.346,
20/09/2022,6 p.m.,1.096,0.0,
20/09/2022,7 p.m.,1.352,0.0,
20/09/2022,8 p.m.,1.357,0.0,
20/09/2022,9 p.m.,0.839,0.0,
20/09/2022,10 p.m.,0.634,0.0,
20/09/2022,11 p.m.,0.674,0.0,
21/09/2022,12 a.m.,0.528,0.0,
21/09/2022,1 a.m.,0.497,0.0,
21/09/2022,2 a.m.,0.916,0.0,
21/09/2022,3 a.m.,0.523,0.0,
21/09/2022,4 a.m.,0.464,0.0,
21/09/2022,5 a.m.,0.769,0.0,
21/09/2022,6 a.m.,0.621,0.0,
21/09/2022,7 a.m.,0.695,0.262,
21/09/2022,8 a.m.,0.001,2.475,
21/09/2022,9 a.m.,0.0,3.705,
21/09/2022,10 a.m.,0.0,7.426,
21/09/2022,11 a.m.,0.0,8.714,
21/09/2022,12 p.m.,0.0,7.719,
21/09/2022,1 p.m.,0.0,7.212,
21/09/2022,2 p.m.,0.0,7.126,
21/09/2022,3 p.m.,0.0,5.229,
21/09/2022,4 p.m.,0.001,1.051,
21/09/2022,5 p.m.,0.029,0.37,
21/09/2022,6 p.m.,1.426,0.0,
21/09/2022,7 p.m.,0.803,0.0,
21/09/2022,8 p.m.,0.621,0.0,
21/09/2022,9 p.m.,1.215,0.0,
21/09/2022,10 p.m.,1.06,0.0,
21/09/2022,11 p.m.,0.951,0.0,
22/09/2022,12 a.m.,0.571,0.0,
22/09/2022,1 a.m.,0.559,0.0,
22/09/2022,2 a.m.,0.518,0.0,
22/09/2022,3 a.m.,0.54,0.0,
22/09/2022,4 a.m.,0.55,0.0,
22/09/2022,5 a.m.,0.789,0.0,
22/09/2022,6 a.m.,0.631,0.0,
22/09/2022,7 a.m.,0.978,0.0,
22/09/2022,8 a.m.,0.112,0.6,
22/09/2022,9 a.m.,0.093,1.032,
22/09/2022,10 a.m.,0.003,4.877,
22/09/2022,11 a.m.,0.0,4.519,
22/09/2022,12 p.m.,0.0,7.648,
22/09/2022,1 p.m.,0.0,9.476,
22/09/2022,2 p.m.,0.0,8.157,
22/09/2022,3 p.m.,0.0,5.045,
22/09/2022,4 p.m.,0.001,0.989,
22/09/2022,5 p.m.,1.017,0.205,
22/09/2022,6 p.m.,1.868,0.0,
22/09/2022,7 p.m.,1.189,0.0,
22/09/2022,8 p.m.,2.939,0.0,
22/09/2022,9 p.m.,1.369,0.0,
22/09/2022,10 p.m.,2.784,0.0,
22/09/2022,11 p.m.,0.548,0.0,
23/09/2022,12 a.m.,0.507,0.0,
23/09/2022,1 a.m.,0.517,0.0,
23/09/2022,2 a.m.,0.531,0.0,
23/09/2022,3 a.m.,0.456,0.0,
23/09/2022,4 a.m.,0.606,0.0,
23/09/2022,5 a.m.,1.088,0.0,
23/09/2022,6 a.m.,0.591,0.0,
23/09/2022,7 a.m.,0.839,0.0,
23/09/2022,8 a.m.,0.868,0.526,
23/09/2022,9 a.m.,1.218,1.023,
23/09/2022,10 a.m.,0.983,1.03,
23/09/2022,11 a.m.,1.93,0.333,
23/09/2022,12 p.m.,0.173,2.221,
23/09/2022,1 p.m.,0.0,2.711,
23/09/2022,2 p.m.,0.0,1.315,
23/09/2022,3 p.m.,0.14,0.008,
23/09/2022,4 p.m.,1.288,0.008,
23/09/2022,5 p.m.,4.088,0.0,
23/09/2022,6 p.m.,2.129,0.0,
23/09/2022,7 p.m.,0.812,0.0,
23/09/2022,8 p.m.,0.704,0.0,
23/09/2022,9 p.m.,0.675,0.0,
23/09/2022,10 p.m.,1.059,0.0,
23/09/2022,11 p.m.,1.13,0.0,
24/09/2022,12 a.m.,2.325,0.0,
24/09/2022,1 a.m.,0.523,0.0,
24/09/2022,2 a.m.,0.529,0.0,
24/09/2022,3 a.m.,0.471,0.0,
24/09/2022,4 a.m.,0.489,0.0,
24/09/2022,5 a.m.,1.146,0.0,
24/09/2022,6 a.m.,0.583,0.0,
24/09/2022,7 a.m.,0.22,0.273,
24/09/2022,8 a.m.,0.0,2.451,
24/09/2022,9 a.m.,0.229,1.182,
24/09/2022,10 a.m.,0.123,6.109,
24/09/2022,11 a.m.,0.0,6.286,
24/09/2022,12 p.m.,0.0,8.372,
24/09/2022,1 p.m.,0.0,6.607,
24/09/2022,2 p.m.,0.0,7.389,
24/09/2022,3 p.m.,0.0,4.1,
24/09/2022,4 p.m.,0.0,1.306,
24/09/2022,5 p.m.,0.618,0.312,
24/09/2022,6 p.m.,2.883,0.0,
24/09/2022,7 p.m.,0.963,0.0,
24/09/2022,8 p.m.,2.901,0.0,
24/09/2022,9 p.m.,1.586,0.0,
24/09/2022,10 p.m.,0.675,0.0,
24/09/2022,11 p.m.,1.057,0.0,
25/09/2022,12 a.m.,0.658,0.0,
25/09/2022,1 a.m.,0.53,0.0,
25/09/2022,2 a.m.,0.571,0.0,
25/09/2022,3 a.m.,1.49,0.0,
25/09/2022,4 a.m.,0.562,0.0,
25/09/2022,5 a.m.,0.797,0.0,
25/09/2022,6 a.m.,0.638,0.0,
25/09/2022,7 a.m.,0.748,0.12,
25/09/2022,8 a.m.,0.529,0.324,
25/09/2022,9 a.m.,0.136,4.132,
25/09/2022,10 a.m.,0.0,4.716,
25/09/2022,11 a.m.,0.0,7.964,
25/09/2022,12 p.m.,0.0,7.441,
25/09/2022,1 p.m.,0.0,5.389,
25/09/2022,2 p.m.,0.0,5.436,
25/09/2022,3 p.m.,0.0,4.686,
25/09/2022,4 p.m.,1.859,0.493,
25/09/2022,5 p.m.,1.273,0.071,
25/09/2022,6 p.m.,1.628,0.0,
25/09/2022,7 p.m.,1.296,0.0,
25/09/2022,8 p.m.,1.361,0.0,
25/09/2022,9 p.m.,1.518,0.0,
25/09/2022,10 p.m.,1.197,0.0,
25/09/2022,11 p.m.,0.653,0.0,
26/09/2022,12 a.m.,0.53,0.0,
26/09/2022,1 a.m.,0.566,0.0,
26/09/2022,2 a.m.,0.542,0.0,
26/09/2022,3 a.m.,0.514,0.0,
26/09/2022,4 a.m.,0.539,0.0,
26/09/2022,5 a.m.,0.83,0.0,
26/09/2022,6 a.m.,1.008,0.0,
26/09/2022,7 a.m.,0.942,0.147,
26/09/2022,8 a.m.,0.015,1.853,
26/09/2022,9 a.m.,0.0,4.186,
26/09/2022,10 a.m.,0.0,4.609,
26/09/2022,11 a.m.,0.0,6.403,
26/09/2022,12 p.m.,0.006,5.574,
26/09/2022,1 p.m.,0.0,4.333,
26/09/2022,2 p.m.,0.0,3.386,
26/09/2022,3 p.m.,0.0,2.253,
26/09/2022,4 p.m.,1.15,0.223,
26/09/2022,5 p.m.,0.278,0.146,
26/09/2022,6 p.m.,0.757,0.0,
26/09/2022,7 p.m.,1.792,0.0,
26/09/2022,8 p.m.,1.236,0.0,
26/09/2022,9 p.m.,0.923,0.0,
26/09/2022,10 p.m.,1.002,0.0,
26/09/2022,11 p.m.,0.993,0.0,
27/09/2022,12 a.m.,0.555,0.0,
27/09/2022,1 a.m.,0.596,0.0,
27/09/2022,2 a.m.,0.552,0.0,
27/09/2022,3 a.m.,0.53,0.0,
27/09/2022,4 a.m.,0.954,0.0,
27/09/2022,5 a.m.,1.997,0.0,
27/09/2022,6 a.m.,3.43,0.0,
27/09/2022,7 a.m.,0.824,0.074,
27/09/2022,8 a.m.,0.078,1.981,
27/09/2022,9 a.m.,0.001,3.835,
27/09/2022,10 a.m.,0.0,6.437,
27/09/2022,11 a.m.,0.0,7.169,
27/09/2022,12 p.m.,0.0,5.861,
27/09/2022,1 p.m.,0.0,8.053,
27/09/2022,2 p.m.,0.0,7.137,
27/09/2022,3 p.m.,0.0,4.183,
27/09/2022,4 p.m.,0.021,0.296,
27/09/2022,5 p.m.,0.034,0.291,
27/09/2022,6 p.m.,0.837,0.0,
27/09/2022,7 p.m.,0.754,0.0,
27/09/2022,8 p.m.,1.565,0.0,
27/09/2022,9 p.m.,1.272,0.0,
27/09/2022,10 p.m.,0.677,0.0,
27/09/2022,11 p.m.,0.567,0.0,
28/09/2022,12 a.m.,0.591,0.0,
28/09/2022,1 a.m.,0.556,0.0,
28/09/2022,2 a.m.,0.54,0.0,
28/09/2022,3 a.m.,0.566,0.0,
28/09/2022,4 a.m.,0.548,0.0,
28/09/2022,5 a.m.,0.786,0.0,
28/09/2022,6 a.m.,0.603,0.0,
28/09/2022,7 a.m.,0.713,0.002,
28/09/2022,8 a.m.,0.086,0.946,
28/09/2022,9 a.m.,0.212,1.523,
28/09/2022,10 a.m.,0.0,4.488,
28/09/2022,11 a.m.,0.0,5.451,
28/09/2022,12 p.m.,0.0,5.637,
28/09/2022,1 p.m.,0.033,5.35,
28/09/2022,2 p.m.,0.0,4.769,
28/09/2022,3 p.m.,1.148,1.703,
28/09/2022,4 p.m.,1.763,0.016,
28/09/2022,5 p.m.,0.736,0.0,
28/09/2022,6 p.m.,0.821,0.0,
28/09/2022,7 p.m.,1.167,0.0,
28/09/2022,8 p.m.,2.937,0.0,
28/09/2022,9 p.m.,2.204,0.0,
28/09/2022,10 p.m.,1.159,0.0,
28/09/2022,11 p.m.,2.597,0.0,
29/09/2022,12 a.m.,0.592,0.0,
29/09/2022,1 a.m.,1.35,0.0,
29/09/2022,2 a.m.,1.297,0.0,
29/09/2022,3 a.m.,1.243,0.0,
29/09/2022,4 a.m.,1.148,0.0,
29/09/2022,5 a.m.,1.107,0.0,
29/09/2022,6 a.m.,0.804,0.0,
29/09/2022,7 a.m.,1.55,0.0,
29/09/2022,8 a.m.,2.185,0.0,
29/09/2022,9 a.m.,1.733,0.033,
29/09/2022,10 a.m.,0.304,0.418,
