Date,Time,kWh delivered,kWh received
25/06/2022,9 p.m.,1.447,
25/06/2022,10 p.m.,1.949,
25/06/2022,11 p.m.,0.695,
26/06/2022,12 a.m.,0.488,
26/06/2022,1 a.m.,0.481,
26/06/2022,2 a.m.,0.449,
26/06/2022,3 a.m.,0.478,
26/06/2022,4 a.m.,0.51,
26/06/2022,5 a.m.,0.643,
26/06/2022,6 a.m.,0.585,
26/06/2022,7 a.m.,0.595,
26/06/2022,8 a.m.,1.201,
26/06/2022,9 a.m.,2.51,
26/06/2022,10 a.m.,1.193,
26/06/2022,11 a.m.,1.102,
26/06/2022,12 p.m.,1.733,
26/06/2022,1 p.m.,1.737,
26/06/2022,2 p.m.,1.868,
26/06/2022,3 p.m.,1.172,
26/06/2022,4 p.m.,2.63,
26/06/2022,5 p.m.,1.222,
26/06/2022,6 p.m.,3.899,
26/06/2022,7 p.m.,1.807,
26/06/2022,8 p.m.,1.041,
26/06/2022,9 p.m.,2.149,
26/06/2022,10 p.m.,1.662,
26/06/2022,11 p.m.,0.579,
27/06/2022,12 a.m.,0.501,
27/06/2022,1 a.m.,0.685,
27/06/2022,2 a.m.,0.541,
27/06/2022,3 a.m.,0.496,
27/06/2022,4 a.m.,0.538,
27/06/2022,5 a.m.,0.691,
27/06/2022,6 a.m.,0.608,
27/06/2022,7 a.m.,1.117,
27/06/2022,8 a.m.,0.909,
27/06/2022,9 a.m.,1.381,
27/06/2022,10 a.m.,2.669,
27/06/2022,11 a.m.,0.644,
27/06/2022,12 p.m.,0.823,
27/06/2022,1 p.m.,2.544,
27/06/2022,2 p.m.,0.856,
27/06/2022,3 p.m.,2.701,
27/06/2022,4 p.m.,0.712,
27/06/2022,5 p.m.,1.999,
27/06/2022,6 p.m.,2.857,
27/06/2022,7 p.m.,2.848,
27/06/2022,8 p.m.,1.724,
27/06/2022,9 p.m.,1.901,
27/06/2022,10 p.m.,2.265,
27/06/2022,11 p.m.,0.678,
28/06/2022,12 a.m.,0.599,
28/06/2022,1 a.m.,0.56,
28/06/2022,2 a.m.,0.593,
28/06/2022,3 a.m.,0.611,
28/06/2022,4 a.m.,0.571,
28/06/2022,5 a.m.,0.776,
28/06/2022,6 a.m.,0.695,
28/06/2022,7 a.m.,1.357,
28/06/2022,8 a.m.,0.874,
28/06/2022,9 a.m.,0.839,
28/06/2022,10 a.m.,0.903,
28/06/2022,11 a.m.,0.819,
28/06/2022,12 p.m.,0.699,
28/06/2022,1 p.m.,0.798,
28/06/2022,2 p.m.,0.985,
28/06/2022,3 p.m.,1.098,
28/06/2022,4 p.m.,1.094,
28/06/2022,5 p.m.,0.793,
28/06/2022,6 p.m.,0.854,
28/06/2022,7 p.m.,0.832,
28/06/2022,8 p.m.,0.696,
28/06/2022,9 p.m.,0.698,
28/06/2022,10 p.m.,0.725,
28/06/2022,11 p.m.,0.551,
29/06/2022,12 a.m.,0.502,
29/06/2022,1 a.m.,0.534,
29/06/2022,2 a.m.,0.536,
29/06/2022,3 a.m.,0.502,
29/06/2022,4 a.m.,0.536,
29/06/2022,5 a.m.,0.701,
29/06/2022,6 a.m.,0.604,
29/06/2022,7 a.m.,2.851,
29/06/2022,8 a.m.,1.057,
29/06/2022,9 a.m.,0.815,
29/06/2022,10 a.m.,0.848,
29/06/2022,11 a.m.,1.282,
